"","datetime","city","country","shape"
"42189",2020-04-20,"brandon","us",""
"18519",2019-01-20,"branford","us",""
"48875",2019-05-23,"brawley","us",""
"79223",2020-08-04,"brazil","",""
"35210",2020-03-15,"breckenridge","us",""
"77120",2019-08-25,"breezewood","us",""
"27767",2020-01-06,"bremen (germany)","de",""
"12777",2019-11-20,"bremerton","us",""
"39516",2020-03-09,"bremerton","us",""
"47510",2020-05-16,"bremerton","us",""
"55745",2019-06-19,"bremerton","us",""
"55746",2019-06-19,"bremerton","us",""
"65664",2019-07-22,"brenham","us",""
"49030",2019-05-24,"brentwood","us",""
"80783",2019-09-10,"brentwood","us",""
"58646",2019-06-30,"brentwood (long island)","us",""
"13993",2020-11-23,"bridgewater","",""
"27019",2019-01-03,"brigham city/ogden (between)","",""
"59777",2020-06-05,"brighton (uk/england)","gb",""
"41749",2019-04-18,"brisbane (near) (queensland&#44 australia)","au",""
"12159",2020-01-01,"brisbane (qld&#44 australia)","au",""
"15993",2020-11-04,"brisbane (qld&#44 australia)","au",""
"38236",2020-03-31,"brisbane (qld&#44 australia)","au",""
"27790",2019-01-07,"bristol","us",""
"43165",2020-04-24,"bristol","us",""
"66735",2020-07-26,"bristol","us",""
"33989",2019-03-01,"bristow","us",""
"15898",2019-11-04,"brockton","us",""
"40524",2019-04-13,"brooklyn","",""
"40526",2019-04-13,"brooklyn","",""
"43348",2019-04-25,"brooklyn","us",""
"9580",2019-11-12,"brooksville","us",""
"25013",2019-12-05,"brooksville","us",""
"9111",2020-01-11,"brownell","us",""
"4904",2019-10-25,"brunswick county","",""
"66348",2020-07-24,"brunswick county","us",""
"2091",2019-10-15,"bry sur marne  (near paris) (france)","",""
"33838",2020-03-11,"buckeye (1-10 milepost 107 heading eastbound","",""
"39633",2019-04-10,"buena park","us",""
"16498",2020-01-15,"buenos aires (argentina)","",""
"52608",2019-06-01,"buenos aires (argentina)","",""
"67601",2020-07-29,"buffalo","us",""
"56704",2020-06-02,"buffalo pound provincial park (canada)","",""
"26051",2019-01-28,"burbank","us",""
"58956",2019-06-30,"burbank","",""
"77869",2019-08-28,"burbank","us",""
"37184",2019-03-25,"burien","us",""
"38865",2019-03-06,"burley","us",""
"78027",2020-08-28,"burlingame","us",""
"44987",2019-04-06,"burlington","us",""
"47758",2020-05-17,"burlington (canada)","ca",""
"54562",2019-06-15,"burnaby (canada)","ca",""
"2958",2019-10-18,"burnsville","us",""
"41110",2020-04-15,"burnt hills (ballston lake)","us",""
"17960",2020-11-08,"burr oak","us",""
"52208",2019-06-01,"butler","us",""
"1491",2020-10-13,"butte","us",""
"56783",2020-06-22,"butte","us",""
"50046",2019-05-30,"byron","us",""
"39261",2019-03-08,"byron center","us",""
"30060",2019-02-17,"cactus flats","",""
"23123",2019-12-27,"california (rte. 40)","",""
"26509",2020-12-09,"california (southern)","",""
"51322",2020-05-07,"calimesa","us",""
"31521",2019-02-24,"cam highway (?)","",""
"58065",2020-06-27,"camanche","",""
"50125",2020-05-30,"cambodia","",""
"56344",2019-06-21,"cameron","us",""
"32788",2020-02-05,"cameron park","us",""
"51683",2019-06-10,"camp pendelton","",""
"41026",2019-04-15,"campbell","us",""
"77842",2020-08-27,"campbell","us",""
"64855",2019-07-20,"campbell river (canada)","ca",""
"17027",2020-11-06,"canada","",""
"70479",2019-07-07,"canada","",""
"14275",2019-11-25,"canberra (australia)","au",""
"33167",2020-02-07,"canby","us",""
